               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060665,            0.036918,            0.048188,             0.23081,             0.35251,               0.233,             0.12609,            0.026132,            0.016938,            0.028973,             0.07005,           0.0033278,           0.0033278
                   1,            0.043103,            0.031048,             0.03441,             0.43926,             0.45255,             0.41416,             0.24126,            0.023383,            0.016684,            0.022336,            0.039918,           0.0065292,           0.0065292
                   2,            0.040729,            0.030559,            0.028111,             0.27779,             0.29579,             0.20901,            0.098902,            0.033596,             0.01946,             0.03011,           0.0096543,           0.0095987,           0.0095987
                   3,            0.039231,            0.032641,            0.028011,              0.4641,             0.45761,             0.47157,             0.27929,            0.023636,            0.017518,            0.018524,            0.009406,            0.009406,            0.009406
                   4,            0.038636,            0.032028,            0.027262,              0.4844,             0.51477,             0.50748,             0.30182,            0.022707,            0.017944,            0.016605,            0.009406,            0.009406,            0.009406
                   5,            0.037377,             0.03228,            0.025596,             0.46412,             0.45263,             0.40562,             0.23602,            0.025247,            0.018273,            0.022186,            0.009208,            0.009208,            0.009208
                   6,            0.036874,            0.031633,            0.025097,             0.48864,              0.4676,             0.45219,             0.27068,            0.024633,            0.018092,            0.018301,             0.00901,             0.00901,             0.00901
                   7,            0.034904,             0.03144,            0.023672,             0.45216,             0.43494,             0.41886,             0.23433,            0.026544,            0.019287,            0.021749,            0.008812,            0.008812,            0.008812
                   8,            0.034585,            0.030132,            0.022027,             0.47347,             0.45916,             0.44576,             0.25767,            0.025811,            0.018739,            0.018921,            0.008614,            0.008614,            0.008614
                   9,            0.033611,            0.029935,            0.021696,             0.57599,             0.55314,             0.57834,             0.36254,            0.021024,            0.016312,            0.016121,            0.008416,            0.008416,            0.008416
                  10,            0.033328,            0.029821,            0.020467,             0.65458,             0.56695,             0.62892,             0.41002,             0.02032,            0.015863,            0.014577,            0.008218,            0.008218,            0.008218
                  11,            0.031864,            0.029417,            0.020577,              0.6711,             0.62725,             0.68826,              0.4591,            0.019248,            0.015841,            0.013006,             0.00802,             0.00802,             0.00802
                  12,            0.032123,            0.029165,            0.018793,             0.64757,             0.58047,             0.62279,              0.4132,            0.018858,             0.01573,            0.014233,            0.007822,            0.007822,            0.007822
                  13,            0.031773,            0.028971,             0.01789,             0.68415,             0.60586,             0.65266,             0.43539,            0.019601,            0.015856,            0.012845,            0.007624,            0.007624,            0.007624
                  14,            0.031205,            0.028233,            0.016707,             0.68442,             0.61808,             0.67244,             0.46005,            0.018522,            0.015375,            0.012757,            0.007426,            0.007426,            0.007426
                  15,            0.029679,            0.027764,            0.015944,             0.70489,             0.64552,             0.69834,              0.4829,            0.017849,            0.015676,            0.011035,            0.007228,            0.007228,            0.007228
                  16,            0.030442,            0.028213,            0.015961,             0.71957,             0.65127,             0.71631,             0.50214,            0.017628,            0.014999,            0.011321,             0.00703,             0.00703,             0.00703
                  17,            0.029836,            0.027324,            0.015419,             0.72365,             0.63824,             0.72411,              0.5027,            0.017645,            0.015101,            0.010954,            0.006832,            0.006832,            0.006832
                  18,            0.029575,            0.027435,            0.014785,             0.70841,             0.63809,             0.70755,             0.49592,            0.017723,            0.015309,            0.012942,            0.006634,            0.006634,            0.006634
                  19,            0.028614,            0.026987,            0.014606,             0.67156,             0.66442,             0.69687,             0.49493,             0.01738,            0.015322,            0.012132,            0.006436,            0.006436,            0.006436
                  20,            0.029027,            0.026338,            0.013778,             0.71221,             0.61336,             0.68082,             0.48168,            0.017511,            0.015438,            0.012677,            0.006238,            0.006238,            0.006238
                  21,            0.028548,            0.027414,            0.013209,             0.74546,              0.6927,             0.74845,             0.54289,            0.016758,            0.014892,            0.010996,             0.00604,             0.00604,             0.00604
                  22,            0.027705,            0.026883,            0.013108,             0.74336,             0.66493,             0.74463,             0.52977,            0.016535,            0.015269,            0.010776,            0.005842,            0.005842,            0.005842
                  23,            0.027431,             0.02638,            0.012595,             0.74586,             0.71136,             0.75991,              0.5572,            0.016309,            0.014435,            0.010217,            0.005644,            0.005644,            0.005644
                  24,            0.027268,             0.02613,            0.011836,             0.74865,             0.70976,             0.77293,             0.56919,            0.016203,            0.014246,           0.0096648,            0.005446,            0.005446,            0.005446
                  25,            0.026622,            0.025904,            0.011218,             0.70678,             0.70361,             0.74531,              0.5422,            0.015995,            0.014846,           0.0093435,            0.005248,            0.005248,            0.005248
                  26,            0.027162,            0.026339,            0.010942,             0.76805,             0.73081,               0.781,             0.56933,            0.015832,            0.014278,           0.0086117,             0.00505,             0.00505,             0.00505
                  27,            0.026255,            0.025189,            0.011032,             0.77452,             0.71193,             0.78448,             0.57875,            0.015732,            0.014386,           0.0091916,            0.004852,            0.004852,            0.004852
                  28,            0.026114,            0.025496,            0.011177,             0.77563,             0.71892,             0.78718,             0.58653,             0.01557,            0.014109,            0.008949,            0.004654,            0.004654,            0.004654
                  29,            0.025532,             0.02535,             0.01074,             0.80094,             0.70166,             0.79015,             0.59344,            0.015517,            0.014134,           0.0089963,            0.004456,            0.004456,            0.004456
